year,group,amount,from https://www.census.gov/data/tables/time-series/demo/voting-and-registration/voting-historical-time-series.html
2002,18 to 24 years,19.3,
2004,18 to 24 years,46.7,
2006,18 to 24 years,22.1,
2008,18 to 24 years,48.5,
2010,18 to 24 years,21.3,
2012,18 to 24 years,41.2,
2014,18 to 24 years,17.1,
2016,18 to 24 years,43,
2018,18 to 24 years,32.4,
2020,18 to 24 years,51.4,
2002,18 to 24 years portion of the vote,10.65635,
2004,18 to 24 years portion of the vote,10.65635,
2006,18 to 24 years portion of the vote,10.65635,
2008,18 to 24 years portion of the vote,10.65635,
2010,18 to 24 years portion of the vote,10.65635,
2012,18 to 24 years portion of the vote,10.87176,
2014,18 to 24 years portion of the vote,10.70346,
2016,18 to 24 years portion of the vote,10.44844,
2018,18 to 24 years portion of the vote,10.3141,
2020,18 to 24 years portion of the vote,10.27528,
2002,25 to 44 years,38.9,
2004,25 to 44 years,60.1,
2006,25 to 44 years,39.9,
2008,25 to 44 years,60,
2010,25 to 44 years,37.1,
2012,25 to 44 years,57.3,
2014,25 to 44 years,32.5,
2016,25 to 44 years,56.5,
2018,25 to 44 years,46.3,
2020,25 to 44 years,62.6,
2002,25 to 44 years portion of the vote,33.77572,
2004,25 to 44 years portion of the vote,32.59647,
2006,25 to 44 years portion of the vote,31.56497,
2008,25 to 44 years portion of the vote,30.70081,
2010,25 to 44 years portion of the vote,29.87971,
2012,25 to 44 years portion of the vote,29.38993,
2014,25 to 44 years portion of the vote,29.55234,
2016,25 to 44 years portion of the vote,29.82652,
2018,25 to 44 years portion of the vote,30.43523,
2020,25 to 44 years portion of the vote,30.98791,
2002,45 to 64 years,56.1,
2004,45 to 64 years,70.4,
2006,45 to 64 years,57.6,
2008,45 to 64 years,69.2,
2010,45 to 64 years,54.4,
2012,45 to 64 years,67.9,
2014,45 to 64 years,49.6,
2016,45 to 64 years,66.6,
2018,45 to 64 years,59.5,
2020,45 to 64 years,71,
2002,45 to 64 years portion of the vote,27.48949,
2004,45 to 64 years portion of the vote,28.18363,
2006,45 to 64 years portion of the vote,28.872,
2008,45 to 64 years portion of the vote,29.3394,
2010,45 to 64 years portion of the vote,29.73197,
2012,45 to 64 years portion of the vote,29.86915,
2014,45 to 64 years portion of the vote,29.8721,
