year,group,amount,from https://www.census.gov/data/tables/time-series/demo/voting-and-registration/voting-historical-time-series.html
1978,All Citizens,48.9,
1980,All Citizens,64,
1982,All Citizens,51.9,
1984,All Citizens,64.9,
1986,All Citizens,49.4,
1988,All Citizens,62.2,
1990,All Citizens,49.3,
1992,All Citizens,67.7,
1994,All Citizens,48.3,
1996,All Citizens,58.4,
1998,All Citizens,45.3,
2000,All Citizens,59.5,
2002,All Citizens,46.1,
2004,All Citizens,63.8,
2006,All Citizens,47.8,
2008,All Citizens,63.6,
2010,All Citizens,45.5,
2012,All Citizens,61.8,
2014,All Citizens,41.9,
2016,All Citizens,61.4,
2018,All Citizens,53.4,
2020,All Citizens,66.8,
1990,Asian,40,
1992,Asian,53.9,
1994,Asian,39.4,
1996,Asian,45,
1998,Asian,32.4,
2000,Asian,43.3,
2002,Asian,31.2,
2004,Asian,44.2,
2006,Asian,32.4,
2008,Asian,47.6,
2010,Asian,30.8,
2012,Asian,47.3,
2014,Asian,27.1,
2016,Asian,49,
2018,Asian,40.6,
2020,Asian,59.7,
1978,Black,39.5,
1980,Black,53.9,
1982,Black,45.5,
1984,Black,60.6,
1986,Black,45.5,
1988,Black,55,
1990,Black,42.4,
1992,Black,59.2,
1994,Black,38.9,
1996,Black,53,
1998,Black,41.8,
2000,Black,56.8,
2002,Black,42.3,
2004,Black,60,
2006,Black,41,
2008,Black,64.7,
2010,Black,43.5,
2012,Black,66.2,
2014,Black,39.7,
2016,Black,59.4,
2018,Black,51.1,
2020,Black,62.6,
1978,Hispanic,35.7,
1980,Hispanic,46,
1982,Hispanic,38.5,
1984,Hispanic,50,
1986,Hispanic,38,
1988,Hispanic,48,
1990,Hispanic,36,
1992,Hispanic,51.6,
1994,Hispanic,34,
1996,Hispanic,44,
1998,Hispanic,32.8,
2000,Hispanic,45.1,
2002,Hispanic,30.4,
2004,Hispanic,47.2,
2006,Hispanic,32.3,
2008,Hispanic,49.9,
2010,Hispanic,31.2,
2012,Hispanic,48,
2014,Hispanic,27,
2016,Hispanic,47.6,
2018,Hispanic,40.4,
2020,Hispanic,53.7,
1978,White,50.1,
1980,White,65.4,
1982,White,52.8,
1984,White,65.7,
1986,White,50,
1988,White,63.4,
1990,White,50.5,
1992,White,69.2,
1994,White,50,
1996,White,59.6,
1998,White,46.3,
2000,White,60.5,
2002,White,47.5,
2004,White,65.4,
2006,White,49.7,
2008,White,64.4,
2010,White,46.7,
2012,White,62.2,
2014,White,43.4,
2016,White,62.9,
2018,White,55,
2020,White,68.3,
